YEAR_MONTH;PRICE
20120201;8538.5500000
20120301;8430.5200000
20120401;8423.9100000
20120501;7438.4400000
20120601;7721.7300000
20120701;7539.8500000
20120801;7631.3400000
20120901;8225.4900000
20121001;7794.4800000
20121101;8031.4800000
20121201;8046.9100000
20130101;8237.6200000
20130201;7774.6400000
20130301;7413.0800000
20130401;7004.1200000
20130501;7213.5600000
20130601;6761.6100000
20130701;6892.7900000
20130801;7139.7100000
20130901;7318.2800000
20131001;7290.7300000
20131101;7068.0600000
20131201;7493.5500000
20140101;7040.5000000
20140201;7033.8900000
20140301;6672.3300000
20140401;6676.7300000
20140501;6914.8300000
20140601;7071.3600000
20140701;7129.7900000
20140801;6978.7700000
20140901;6634.8500000
20141001;6729.6500000
20141101;6182.9000000
20141201;6230.2843800
20150101;5508.2680500
20150201;5930.4547000
20150301;6074.8579700
20150401;6352.6413500
20150501;6034.0723100
20150601;5768.4143950
20150701;5189.6990200
20150801;5141.1971600
20150901;5230.4846750
20151001;5105.9230800
20151101;4571.3003050
20151201;4706.8850500
20160101;4498.5475150
20160201;4666.0993950
20160301;4816.0142350
20160401;5030.9656600
20160501;4566.8910450
20160601;4846.8790550
20160701;4909.7110100
20160801;4603.2674400
20160901;4879.9485050
20161001;4872.2323000
20161101;5878.6458950
20161201;5530.3143550
20170101;6004.3098050
20170201;6012.0260100
20170301;5854.3949650
20170401;5727.6287400
20170501;5674.7176200
20170601;5967.9334100
20170701;6382.4038500
20170801;6840.9668900
20170901;6498.1469250
20171001;6937.9706100
20171101;6780.3395650
20171201;7264.2558500
20180101;7057.0206300
20180201;6920.3335700
20180301;6664.5964900
20180401;6748.3724300
20180501;6746.1678000
20180601;6535.6256350
20180701;6182.8848350
20180801;5876.4412650
20180901;6149.8153850
20181001;5863.2134850
20181101;6155.3269600
20181201;5826.8370900
20190101;6093.5973200
20190201;6491.5330350
20190301;6527.9094300
20190401;6411.0640400
20190501;5798.1769000
20190601;6057.2209250
20190701;5863.2134850
20190801;5637.2389100
20190901;5624.0111300
20191001;5837.8602400
20191101;5866.5204300
20191201;6169.6570550
20200101;5539.1328750
