YEAR_MONTH;PRICE
20131001;1325.1000000
20131101;1251.4000000
20131201;1204.8000000
20140101;1245.6000000
20140201;1328.6000000
20140301;1284.5000000
20140401;1288.8000000
20140501;1251.4000000
20140601;1327.9000000
20140701;1283.7000000
20140801;1287.8000000
20140901;1206.7000000
20141001;1173.5000000
20141101;1150.7000000
20141201;1183.2000000
20150101;1283.7000000
20150201;1213.7000000
20150301;1187.1000000
20150401;1182.1000000
20150501;1191.9000000
20150601;1173.6000000
20150701;1095.0000000
20150801;1141.8000000
20150901;1114.1000000
20151001;1141.7000000
20151101;1071.4000000
20151201;1060.5000000
20160101;1122.3000000
20160201;1245.2000000
20160301;1232.7000000
20160401;1294.9000000
20160501;1216.7000000
20160601;1333.1000000
20160701;1357.4000000
20160801;1312.6000000
20160901;1318.8000000
20161001;1277.4000000
20161101;1176.6000000
20161201;1152.0000000
20170101;1210.6000000
20170201;1244.6000000
20170301;1251.6000000
20170401;1264.7000000
20170501;1270.6000000
20170601;1241.4000000
20170701;1276.1000000
20170801;1324.9000000
20170901;1282.5000000
20171001;1270.2000000
20171101;1278.0000000
20171201;1305.1000000
20180101;1347.2000000
20180201;1314.4000000
20180301;1325.0000000
20180401;1312.9000000
20180501;1302.9000000
20180601;1254.2000000
20180701;1229.6000000
20180801;1206.9000000
20180901;1192.1000000
20181001;1219.7000000
20181101;1227.8000000
20181201;1284.7000000
20190101;1322.6000000
20190201;1312.9000000
20190301;1297.6000000
20190401;1281.6000000
20190501;1310.2000000
20190601;1395.3000000
20190701;1421.3000000
20190801;1529.2000000
20190901;1472.2000000
20191001;1513.0000000
20191101;1470.4000000
20191201;1520.0000000
20200101;1593.6000000
20200201;1587.3000000
20200301;1592.2000000
20200401;1695.6000000
20200501;1755.2000000
20200601;1799.4000000
20200701;1994.0000000
20200801;1974.3000000
20200901;1893.2000000
20201001;1878.8000000
20201101;1781.5000000
20201201;1901.6000000
20210101;1858.4000000
20210201;1737.8000000
20210301;1708.3000000
20210401;1768.8000000
20210501;1911.2000000
20210601;1768.5000000
20210701;1816.9000000
20210801;1817.2000000
20210901;1753.6000000
20211001;1781.1000000
20211101;1774.6000000
20211201;1830.5000000
20220101;1798.6000000
20220201;1908.1000000
20220301;1941.4000000
20220401;1896.9000000
20220501;1838.9000000
20220601;1807.2000000
20220701;1778.7000000
20220801;1792.4000000
