YEAR_MONTH;PRICE
20140701;105.5200000
20140801;103.1100000
20140901;94.8000000
20141001;85.9600000
20141101;68.3400000
20141201;57.5400000
20150101;52.9500000
20150201;62.4800000
20150301;55.1000000
20150401;66.8000000
20150501;65.1900000
20150601;63.1400000
20150701;51.8500000
20150801;53.1200000
20150901;48.4400000
20151001;49.5000000
20151101;44.5000000
20151201;37.6000000
20160101;35.9100000
20160201;36.6400000
20160301;40.1400000
20160401;47.3200000
20160501;49.5200000
20160601;49.7400000
20160701;43.2700000
20160801;46.9700000
20160901;49.9900000
20161001;48.5100000
20161101;51.5200000
20161201;56.7500000
20170101;55.4900000
20170201;56.4500000
20170301;53.6200000
20170401;51.8500000
20170501;50.9800000
20170601;48.9400000
20170701;52.6800000
20170801;52.7700000
20170901;56.5300000
20171001;61.1800000
20171101;62.6300000
20171201;66.8700000
20180101;68.8900000
20180201;64.7300000
20180301;69.3500000
20180401;74.7000000
20180501;77.6100000
20180601;79.1200000
20180701;74.1900000
20180801;77.7100000
20180901;82.9800000
20181001;74.5900000
20181101;59.0700000
20181201;54.1500000
20190101;61.2200000
20190201;66.2800000
20190301;67.8400000
20190401;71.6600000
20190501;61.7600000
20190601;65.6300000
20190701;65.0500000
20190801;59.1900000
20190901;59.4300000
20191001;59.5000000
20191101;60.7300000
20191201;66.0300000
20200101;56.6600000
20200201;50.0900000
20200301;25.9200000
20200401;26.6600000
20200501;37.9800000
20200601;41.6300000
20200701;43.7100000
20200801;45.5700000
20200901;42.1200000
20201001;37.8600000
20201101;47.6100000
20201201;51.7200000
20210101;54.9100000
20210201;65.3800000
20210301;63.0700000
20210401;66.4400000
20210501;69.4600000
20210601;74.6700000
20210701;75.2200000
20210801;71.7000000
20210901;78.3600000
20211001;83.2500000
20211101;71.1500000
20211201;77.9400000
20220101;89.3100000
20220201;98.1200000
20220301;105.6500000
20220401;106.0800000
20220501;116.2700000
20220601;109.2000000
20220701;103.4100000
20220801;94.6600000
